LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,CODE,SALARY RANGE
"U.S. BUSINESS & CONSULTING & INVESTMENTS, LLC",BELMONT,94002,MANAGEMENT ANALYST,64106,C,50001 to 100000
"U.S. BUSINESS & CONSULTING & INVESTMENTS, LLC",BELMONT,94002,MANAGEMENT ANALYST,64106,C,50001 to 100000
FRACTAL ANALYTICS INC,SAN MATEO,94404,SR. CONSULTANT,64106,C,50001 to 100000
"CANVAS INFOTECH, INC.",UNION CITY,94587,BUSINESS ANALYST,64106,C,50001 to 100000
"SUHAS AHUJA COMPUTER CONSULTING, INC.",REDWOOD CITY,94065,MANAGEMENT ANALYST,64106,C,50001 to 100000
RS SOFTWARE (INDIA) LTD,MILPITAS,95035,PROJECT LEADER,64106,C,50001 to 100000
RS SOFTWARE (INDIA) LTD,MILPITAS,95035,PROJECT LEADER,64106,C,50001 to 100000
RS SOFTWARE (INDIA) LTD,MILPITAS,95035,PROJECT LEADER,64106,C,50001 to 100000
YOUNOODLE INC.,SAN FRANCISCO,94107,MANAGEMENT ANALYST,64106,C,50001 to 100000
"CANVAS INFOTECH, INC.",FREMONT,94538,BUSINESS ANALYST,64106,C,50001 to 100000
LAWRENCE BERKELEY NATIONAL LABORATORY,BERKELEY,94720,PHYSICIST POSTDOCTORAL FELLOW,64116,C,50001 to 100000
"WEST BUILDERS, INC.",BERKELEY,94710,PROJECT ENGINEER,64147,C,50001 to 100000
"STEEL BUILDERS, INC.",DOWNEY,90241,CIVIL ENGINEER,64147,C,50001 to 100000
"STEEL BUILDERS, INC.",DOWNEY,90241,CIVIL ENGINEER,64147,C,50001 to 100000
"FUGRO CONSULTANTS, INC.",VENTURA,93003,PROJECT ENGINEER,64147,C,50001 to 100000
ELI INDUSTRIES INC.,CHATSWORTH,91311,CIVIL ENGINEER,64147,C,50001 to 100000
"FRAMETENT, INC.",SANTA CLARITA,91350,CONSTRUCTION ENGINEER,64147,C,50001 to 100000
UNION CONSTRUCTION &AMP; PAINTING,LOS ANGELES,90006,CIVIL ENGINEER,64150,C,50001 to 100000
"QUORUMLABS, INC.",FREMONT,94538,"SOFTWARE QUALITY ASSURANCE ENGINEER, JUNIOR",64168,C,50001 to 100000
"MEDIKEEPER, INC.",SAN DIEGO,92121,SOFTWARE ENGINEER,64175,C,50001 to 100000
POWERTRONIX CORPORATION,FOSTER CITY,94404,ELECTRICAL MAGNETIC ENGINEER,64200,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,SYSTEMS ANALYST,64200,C,50001 to 100000
UST GLOBAL INC.,ALISO VIEJO,92656,SYSTEMS ANALYST,64200,C,50001 to 100000
POWERTRONIX CORPORATION,FOSTER CITY,94404,ELECTRICAL MAGNETIC ENGINEER,64200,C,50001 to 100000
ALPHA AND OMEGA COMPUTER,CITY OF INDUSTRY,91744,MARKET DATA ANALYST,64200,C,50001 to 100000
IGATE TECHNOLOGIES INC.,FREMONT,94555,COMPUTER SYSTEMS ANALYSTS,64200,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,SYSTEMS ANALYST,64200,C,50001 to 100000
"TELECOM TECHNOLOGY SERVICES, INC.",PLEASANTON,94588,RF ENGINEER,64230,C,50001 to 100000
SEAGATE US LLC,CUPERTINO,95014,FIRMWARE ENGINEER,64230,C,50001 to 100000
BETHEL CHURCH,REDDING,96003-3046,DIRECTOR OF CAMERA OPERATIONS,64242,C,50001 to 100000
BETHEL CHURCH,REDDING,960033046,DIRECTOR OF CAMERA OPERATIONS,64242,C,50001 to 100000
HEWLETT-PACKARD COMPANY,CUPERTINO,95014,CUSTOMER SERVICE REPRESENTATIVE,64252,C,50001 to 100000
HEWLETT-PACKARD COMPANY,CUPERTINO,95014,SOFTWARE ENGINEERING SUPPORT SPECIALIST,64252,C,50001 to 100000
AKRAYA INC,SUNNYVALE,94086,COMPUTER SYSTEMS ANALYST,64272,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64293,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64293,C,50001 to 100000
"NOVARTIS INSTITUTE FOR FUNCTIONAL GENOMICS, INC.",SAN DIEGO,92121,SCIENTIFIC ASSOCIATE II,64297,C,50001 to 100000
ELECTRONIC ARTS INC.,REDWOOD CITY,94065,SOFTWARE ENGINEER II,64300,C,50001 to 100000
"INTELLECT IT, LLC",FOLSOM,95630,ORACLE DATABASE ADMINISTRATOR,64334,C,50001 to 100000
"WESTERN DIGITAL TECHNOLOGIES, INC.",IRVINE,92612,SENIOR ENGINEER,64334,C,50001 to 100000
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,91766-1854,WEB PROGRAMMER,64348,C,50001 to 100000
DESERT VALLEY HOSPITAL,VICTORVILLE,92395,OPERATING ROOM NURSE,64355,C,50001 to 100000
"HCL AMERICA, INC.",SUNNYVALE,94085,NETWORK ADMINISTRATOR,64397,C,50001 to 100000
NEXTGEN TECHNOLOGIES INC.,SAN JOSE,95112,NETWORK ENGINEER,64397,C,50001 to 100000
AKRAYA INC,SUNNYVALE,94086,NETWORK & COMPUTER SYSTEMS ADMINISTRATOR,64397,C,50001 to 100000
"ADCHEMY, INC.",FOSTER CITY,94404,SENIOR SYSTEMS ADMINISTRATOR,64397,C,50001 to 100000
"MACROTECH (USA), INC.",BURLINGAME,94010,NETWORK SUPPORT ENGINEER,64397,C,50001 to 100000
"HCL AMERICA, INC.",SUNNYVALE,94085,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,64397,C,50001 to 100000
"ACROPETAL, INC.",SAN FRANCISCO,94111,SYSTEMS ADMINISTRATOR,64397,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64400,C,50001 to 100000
"BECKMAN COULTER, INC.",BREA,92821,SOFTWARE DEVELOPMENT ENGINEER,64401,C,50001 to 100000
"UNIVERSITY OF CALIFORNIA, BERKELEY",BERKELEY,94720,SPECIALIST STEP I,64404,C,50001 to 100000
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",SANTA CRUZ,95064,SPECIALIST,64404,C,50001 to 100000
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",SANTA CRUZ,95064,SPECIALIST,64404,C,50001 to 100000
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",SANTA CRUZ,95064,SPECIALIST,64404,C,50001 to 100000
"UNIVERSITY OF CALIFORNIA, BERKELEY",BERKELEY,94720,SPECIALIST,64404,C,50001 to 100000
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,95616,SPECIALIST,64404,C,50001 to 100000
"INSTITUTE OF CALIFORNIA, LLC",LOS ANGELES,90024,ACUTE CLINICAL COORDINATOR,64438,C,50001 to 100000
"DIONEX CORPORATION, A PART OF THERMO FISHER SCIENT",SUNNYVALE,94085,CHEMIST,64443.36,C,50001 to 100000
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,90048,RESEARCH SCIENTIST I,64480,C,50001 to 100000
"IQ PIPELINE, LLC",SAN DIEGO,92109,SOFTWARE VERIFICATION AND VALIDATION TEST ENGINEER,64480,C,50001 to 100000
TECHNICON DESIGN CORPORATION,SAN JUAN CAPISTRANO,92675,AUTOMOTIVE DESIGNER,64480,C,50001 to 100000
TECHNICON DESIGN CORPORATION,SAN JUAN CAPISTRANO,92675,AUTOMOTIVE DESIGNER,64480,C,50001 to 100000
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,94105,SYSTEMS ANALYST,64480,C,50001 to 100000
TECHNICON DESIGN CORPORATION,SAN JUAN CAPISTRANO,92675,AUTOMOTIVE DESIGNER,64480,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SANTA CLARA,95054,PROGRAMMER ANALYST,64480,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SANTA CLARA,95054,PROGRAMMER ANALYST,64480,C,50001 to 100000
TECHNICON DESIGN CORPORATION,SAN JUAN CAPISTRANO,92675,AUTOMOTIVE DESIGNER,64480,C,50001 to 100000
"EDGETECH CONSULTING, INC",IRVINE,92618,SENIOR PROGRAMMER ANALYST,64480,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SANTA CLARA,95054,PROGRAMMER ANALYST,64480,C,50001 to 100000
PERSISTENT SYSTEMS INC.,SANTA CLARA,95054,COMPUTER PROGRAMMER ANALYST,64480,C,50001 to 100000
"GAIA INTERACTIVE, INC.",SAN JOSE,95110,GRAPHIC DESIGNER,64482,C,50001 to 100000
THE UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,90089,TECHNICAL PROJECT SPECIALIST,64499.63,C,50001 to 100000
FORTUNE TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
FORTUNE TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
"PARAGSOFT, INC.",PLEASANTON,94566,PROJECT ANALYST/ENGINEER,64500,C,50001 to 100000
"BETA SOFT SYSTEMS, INC.",FREMONT,94538,PROGRAMMER ANALYST,64500,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
"AUTODESK, INC.",SAN RAFAEL,94903,SOFTWARE ENGINEER,64500,C,50001 to 100000
"AUTODESK, INC.",SAN RAFAEL,94903,SOFTWARE ENGINEER,64500,C,50001 to 100000
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,94555,COMPUTER SYSTEMS ANALYSTS,64500,C,50001 to 100000
HORIZON TECHNOLOGIES INC,SUNNYVALE,94085,COMPUTER SYSTEMS ANALYST,64500,C,50001 to 100000
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,94105,BUSINESS ANALYST,64500,C,50001 to 100000
CHILDRENS HOSPITAL LOS ANGELES,LOS ANGELES,90027,BIOSTATISTICIAN II,64500,C,50001 to 100000
"UNIVERSITY OF CALIFORNIA, MERCED",MERCED,95343,ASSISTANT PROFESSOR,64500,C,50001 to 100000
SEAGATE US LLC,CUPERTINO,95014,FIRMWARE ENGINEER,64507,C,50001 to 100000
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,90048,PROJECT SCIENTIST,64521,C,50001 to 100000
"MERIDIANLINK, INC.",COSTA MESA,92626,SOFTWARE ENGINEER,64522,C,50001 to 100000
"MERIDIANLINK, INC.",COSTA MESA,92626,SOFTWARE DEVELOPMENT ENGINEER,64522,C,50001 to 100000
"MERIDIANLINK, INC.",COSTA MESA,92626,SOFTWARE DEVELOPMENT ENGINEER,64522,C,50001 to 100000
HEWLETT-PACKARD COMPANY,CUPERTINO,95014,TECHNOLOGY CONSULTANT,64546,C,50001 to 100000
"SYNOPSYS, INC.",MOUNTAIN VIEW,94043,APPLICATIONS ENGINEER,64558,C,50001 to 100000
WESTED,SAN FRANCISCO,94107,RESEARCH ASSOCIATE,64574.2,C,50001 to 100000
"MOSS MOTORS, LTD.",GOLETA,93117,NAVISION COMPUTER PROGRAMMER,64584,C,50001 to 100000
"INVENSENSE, INC.",SUNNYVALE,94089,SOFTWARE APPLICATIONS ENGINEER,64625,C,50001 to 100000
CYPRESS SEMICONDUCTOR CORPORATION,SAN JOSE,95134,APPLICATIONS ENGINEER,64640,C,50001 to 100000
SONY NETWORK ENTERTAINMENT INTERNATIONAL LLC,SAN DIEGO,92127,SECURITY DEFENSE CENTER LEAD,64667,C,50001 to 100000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,64667,C,50001 to 100000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,64667,C,50001 to 100000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,64667,C,50001 to 100000
QUALCOMM INCORPORATED,SAN DIEGO,92121,IT ENGINEER,64667.2,C,50001 to 100000
"AGREEYA SOLUTIONS, INC.",FOLSOM,95630,JAVA WEB DEVELOPER,64688,C,50001 to 100000
"HP ENTERPRISE SERVICES, LLC",CUPERTINO,95014,SERVICES INFORMATION DEVELOPER,64688,C,50001 to 100000
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSI,RIVERSIDE,92521,ASSISTANT PROFESSOR,64700,C,50001 to 100000
"CAMBRIDGE CM, INC.",PALO ALTO,94306,PROJECT ENGINEER,64709,C,50001 to 100000
"MEDIKEEPER, INC.",SAN DIEGO,92121,SOFTWARE ENGINEER,64715,C,50001 to 100000
"SABER SOFTWARE, INC.",CUPERTINO,95014,BUSINESS ANALYST,64750,C,50001 to 100000
"FARMERS SERVICES, LLC",LOS ANGELES,90010,FINANCE SPECIALIST - BUSINESS OPERATIONS FINANCE,64770,C,50001 to 100000
"PHIARO, INC.",IRVINE,92618,GRAPHIC DESIGNER,64792,C,50001 to 100000
GOOGLE INC.,MOUNTAIN VIEW,94043,ACCOUNT STRATEGIST,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
YAHOO! INC.,SUNNYVALE,94089,"SOFTWARE ENGINEER (TECHNICAL YAHOO, SOFTWARE DEV E",64800,C,50001 to 100000
GENOMATICA,SAN DIEGO,92120,FERMENTATION ENGINEER I,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
INCION LLC,COVINA,91724,COMPUTER SYSTEMS ANALYST,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
INCION LLC,COVINA,91724,COMPUTER SYSTEMS ANALYST,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER,64800,C,50001 to 100000
INCION LLC,COVINA,91724,COMPUTER SYSTEMS ANALYST,64800,C,50001 to 100000
"RJM INTERNATIONAL, INC.",TUSTIN,92780,MARKET RESEARCH ANALYST,64800,C,50001 to 100000
UST GLOBAL INC.,ALISO VIEJO,92656,BUSINESS ANALYST,64800,C,50001 to 100000
"PRO-TECH CONSULTING, INC.",BEVERLY HILLS,90211,BUSINESS SYSTEMS ANALYST,64800,C,50001 to 100000
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,94105,PROGRAMMER ANALYST,64813,C,50001 to 100000
INFOGAIN CORPORATION,LOS GATOS,95032,PROGRAMMER,64813,C,50001 to 100000
"SYNTERACT, INC.",CARLSBAD,92008,STATISTICAL PROGRAMMER II,64813,C,50001 to 100000
INFOGAIN CORPORATION,LOS GATOS,95032,PROGRAMMER,64813,C,50001 to 100000
"CALIFORNIA CREATIVE SOLUTIONS, INC",POWAY,92064,COMPUTER PROGRAMMER,64813,C,50001 to 100000
INFOGAIN CORPORATION,LOS GATOS,95032,PROGRAMMER,64813,C,50001 to 100000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,64813,C,50001 to 100000
"HCL AMERICA, INC.",SUNNYVALE,94085,PROGRAMMER ANALYST,64813,C,50001 to 100000
INFOGAIN CORPORATION,LOS GATOS,95032,PROGRAMMER,64814,C,50001 to 100000
INFOGAIN CORPORATION,LOS GATOS,95032,PROGRAMMER,64814,C,50001 to 100000
INFOGAIN CORPORATION,LOS GATOS,95032,PROGRAMMER,64814,C,50001 to 100000
"NETENRICH, INC.",SAN JOSE,95110,SENIOR PARTNER MANAGER,64854,C,50001 to 100000
VIETFACE MEDIA GROUP INC.,FOUNTAIN VALLEY,92708,DIRECTOR OF OPERATION,64854,C,50001 to 100000
HVP CAPITAL GROUPS CORP,SANTA ANA,92706,SALES & MARKETING REPRESENTATIVE,64875,C,50001 to 100000
HVP CAPITAL GROUPS CORP,SANTA ANA,92706,SALES & MARKETING REPRESENTATIVE,64875,C,50001 to 100000
"IRVINE SCIENTIFIC SALES COMPANY, INC.",SANTA ANA,92705,"TERRITORY MANAGER, ART",64875,C,50001 to 100000
OUTDOOR CHANNEL,TEMECULA,92590,STAFF ACCOUNTANT,64890,C,50001 to 100000
OUTDOOR CHANNEL,TEMECULA,92590,STAFF ACCOUNTANT,64890,C,50001 to 100000
"SORENSON ENGINEERING, INC.",YUCAIPA,92399,MECHANICAL ENGINEER,64896,C,50001 to 100000
YAHOO! INC.,SUNNYVALE,94089-,SOFTWARE ENGINEER (QA ANALYST),64900,C,50001 to 100000
YAHOO! INC.,SUNNYVALE,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),64900,C,50001 to 100000
SYMANTEC CORPORATION,MOUNTAIN VIEW,94043,PRINCIPAL SALES OPERATIONS SPEC (PROPOSAL CONTENT,64900,C,50001 to 100000
SYMANTEC CORPORATION,MOUNTAIN VIEW,94043,PRINCIPAL BUSINESS OPERATIONS ANALYST,64900,C,50001 to 100000
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,94555,PROGRAMMER ANALYST,64900,C,50001 to 100000
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,94555,COMPUTER PROGRAMMERS,64900,C,50001 to 100000
IGATE TECHNOLOGIES INC.,FREMONT,94555,COMPUTER PROGRAMMERS,64900,C,50001 to 100000
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,94555,COMPUTER PROGRAMMERS,64900,C,50001 to 100000
IGATE TECHNOLOGIES INC.,FREMONT,94555,COMPUTER PROGRAMMERS,64900,C,50001 to 100000
IGATE TECHNOLOGIES INC.,FREMONT,94555,COMPUTER PROGRAMMERS,64900,C,50001 to 100000
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,94555,QUALITY ASSURANCE ANALYST,64900,C,50001 to 100000
CHAPMAN UNIVERSITY,ORANGE,92866,ASSISTANT PROFESSOR OF ENGLISH,64906,C,50001 to 100000
LIFE TECHNOLOGIES CORPORATION,CARLSBAD,92008,FIELD APPLICATION SPECIALIST,64917,C,50001 to 100000
LIFE TECHNOLOGIES CORPORATION,CARLSBAD,92008,FIELD APPLICATION SPECIALIST,64917,C,50001 to 100000
"WESTERN DIGITAL TECHNOLOGIES, INC.",IRVINE,92612,SENIOR ENGINEER,64922,C,50001 to 100000
HCL AMERICA INC,SUNNYVALE,94085,PROGRAMMER ANALYST,64938,C,50001 to 100000
"SYNOPSYS, INC.",MOUNTAIN VIEW,94043,APPLICATIONS CONSULTANT,64948,C,50001 to 100000
INTEL CORPORATION,SANTA CLARA,95054,GRAPHICS HARDWARE ENGINEER,64958,C,50001 to 100000
"AGREEYA SOLUTIONS, INC.",FOLSOM,95630,PROGRAMMER ANALYST,64979,C,50001 to 100000
"APPRIVO, INC.",SAN FRANCISCO,94104-,JUNIOR DEVELOPER,65000,C,50001 to 100000
"KRG TECHNOLOGIES, INC.",VALENCIA,91355-,PROGRAMMER ANALYST,65000,C,50001 to 100000
"IGN ENTERTAINMENT, INC.",BEVERLY HILLS,90210,JR. SOFTWARE ENGINEER,65000,C,50001 to 100000
MOODY'S ANALYTICS,SAN FRANCISCO,94105,ASSOCIATE ANALYST,65000,C,50001 to 100000
FABICA INC.,IRVINE,92612,SYSTEMS ANALYST,65000,C,50001 to 100000
ALPHA NET CONSULTING LLC,SANTA CLARA,95054,NETWORK ADMINISTRATOR,65000,C,50001 to 100000
"INVENSENSE, INC.",SUNNYVALE,94089,SOFTWARE ENGINEER,65000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,65000,C,50001 to 100000
"SMITH MICRO SOFTWARE, INC.",ALISO VIEJO,92656,SOFTWARE ENGINEER (QA),65000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,65000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,65000,C,50001 to 100000
INTEGRAL DEVELOPMENT CORPORATION,MOUNTAIN VIEW,94043,TRADING SOLUTIONS ASSOCIATE,65000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,65000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,65000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE ENGINEER,65000,C,50001 to 100000
OZMO INC.,PALO ALTO,94303,FIELD APPLICATIONS AND TEST ENGINEER,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE ENGINEER,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE ENGINEER,65000,C,50001 to 100000
"CABI, LLC",RANCHO DOMINGUEZ,90220,BUSINESS SYSTEMS ANALYST,65000,C,50001 to 100000
"CRYSTAL DYNAMICS, INC.",REDWOOD CITY,94063,AUDIO ENGINEER,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,PROGRAMMER ANALYST,65000,C,50001 to 100000
"ALLOWTECH, INC.",AGOURA HILLS,91301,LEAD FPGA DESIGN ENGINEER,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE ENGINEER,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,BUSINESS ANALYST,65000,C,50001 to 100000
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,91125,STAFF SCIENTIST,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE ENGINEER,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE ENGINEER,65000,C,50001 to 100000
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,91125,RESEARCH SPECIALIST,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE ENGINEER,65000,C,50001 to 100000
"PMC-SIERRA US, INC.",SUNNYVALE,94089,PRODUCT DESIGN ENGINEER,65000,C,50001 to 100000
"WESTFIELD, LLC",LOS ANGELES,90025-1748,FINANCIAL ANALYST,65000,C,50001 to 100000
"WAGEWORKS, INC.",SAN MATEO,94403,SENIOR GENERAL LEDGER ACCOUNTANT,65000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,PROGRAMMER ANALYST,65000,C,50001 to 100000
ENTRAVISION COMMUNICATIONS CORPORATION,SANTA MONICA,90404,CREATIVE SERVICES PRODUCER,65000,C,50001 to 100000
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,90048,ASSOCIATE INTERFACE ANALYST/DEVELOPER,65000,C,50001 to 100000
"VELOCITA, INC.",MOUNTAIN VIEW,94043,PARTNER ENGAGEMENT ANALYST,65000,C,50001 to 100000
